tconst,popularity,production_countries,averageRating,category,primaryName,birthYear,titles,votes,runtime_minutes,start_year,poster_url,video_link,overview,original_title,genres,languages
tt6002232,7.549,['FR'],7.5,actress,Léa Drucker,1972,Custody - Jusqu'à la garde,11159.0,93.0,2018,https://image.tmdb.org/t/p/w154/hOVU6f3BHt7cvckt00AHti0j3G8.jpg,https://www.youtube.com/watch?v=bp79ucg69_c,"Le couple Besson divorce. Pour protéger son fils d’un père qu’elle accuse de violences, Miriam en demande la garde exclusive. La juge en charge du dossier accorde une garde partagée au père qu’elle considère bafoué. Pris en otage entre ses parents, Julien va tout faire pour empêcher que le pire n’arrive.",Jusqu'à la garde,"Drama, Thriller","es, fr"
tt6012792,3.14,['FR'],6.5,actor,Pierre Deladonchamps,1978,Golden Years - Golden Years,6782.0,103.0,2017,https://image.tmdb.org/t/p/w154/jdRKb8x8jDRDrL8vsSjnbQznTp5.jpg,https://www.youtube.com/watch?v=zZYELVCVHfM,"Un homme, déserteur, va se travestir en femme pour échapper aux champs de bataille. Quelques années après la fin du conflit, l'amnistie touchant les déserteurs de 14-18, les choses se gâtent entre l'homme et son épouse, quand celle-ci lui demande de remettre ses habits d'homme...",Nos années folles,Drama,"en, fr"
tt6045466,9.956,['FR'],6.1,actress,Toni Collette,1972,Madame - Madame,9057.0,91.0,2017,https://image.tmdb.org/t/p/w154/r8qlh9T7hOsqZHNOuT97UfyakiU.jpg,https://www.youtube.com/watch?v=al18feIPhPI,"Anne et Bob, un couple d’américains fortunés récemment installé à Paris, s’apprêtent à donner un grand dîner, et convient douze invités triés sur le volet, réunissant la haute société anglaise, française et américaine. Mais lorsque Anne réalise qu’un treizième couvert est posé pour Steven, le fils du premier mariage de Bob, elle panique : pour cet événement mondain, hors de question de provoquer le mauvais sort ! Elle demande à Maria, sa domestique, d’enfiler une robe et de se faire passer pour une riche amie espagnole. Maria se retrouve assise à côté de David, un expert en art issu de la noblesse britannique. Aussi quand, sous le charme de Maria, il la recontacte le lendemain, révéler sa véritable identité est impossible. Une romance commence, qui va faire trembler les valeurs élitistes et le mariage d’Anne. A moins que cette dernière n’arrive à l’étouffer…",Madame,"Comedy, Drama, Romance","en, fr"
tt6100286,4.535,['FR'],6.5,actor,Swann Arlaud,1981,Escape from Raqqa - Escape from Raqqa,6774.0,102.0,2019,https://image.tmdb.org/t/p/w154/mV3uUgz0dUyvp6sU875vzhAFzcA.jpg,https://www.youtube.com/watch?v=314732826,"Rakka, Syrie, printemps 2015.  Faustine ouvre les yeux sur l’enfer dans lequel elle s’est jetée avec son fils de 5 ans. À Paris, Gabriel et Adnan, deux jeunes activistes, sont émus par la détresse de Sylvain, le mari de Faustine. Ils vont ainsi monter une opération d’exfiltration à haut risque…",Exfiltrés,"Drama, Thriller","ar, en, fr, tr"
tt6110504,5.93,['US'],7.5,actor,Josh Lawson,1981,Becoming Bond - Becoming Bond,3392.0,95.0,2017,https://image.tmdb.org/t/p/w154/3hSbUoYUzLFPB6d6gqcUMYFdYS5.jpg,https://www.youtube.com/watch?v=A-Fgu4DN5tE,"Un documentaire hybride unique qui raconte l’histoire vraie, plus étrange que la fiction, de George Lazenby, un mécanicien automobile australien qui, grâce à un ensemble de circonstances incroyables, a décroché le rôle de James Bond dans « Au service secret de Sa Majesté » (1969), bien qu’il n’ait aucune expérience de comédien. Mais alors qu’il s’est vu proposer de garder le rôle dans les six films suivants, avec une prime à la signature d’un million de dollars, il a tout refusé…",Becoming Bond,"Biography, Comedy, Documentary","de, en, fr"
tt6130920,0.66,['CA'],6.5,actress,Catherine Brunet,1990,Wolfe - Wolfe,6730.0,95.0,2018,https://image.tmdb.org/t/p/w154/bUAIeUGYpshcH2plM6zWHqP8DFr.jpg,https://www.youtube.com/watch?v=GQFBQavlYG0,"Durant une fête, Andie, dominatrice, manipulatrice et figure de proue d'un groupe de quatre amis, planifie d'organiser sa mort devant l'ensemble de ses proches. À travers un monologue éclaté, Andie révèle sa pensée profonde sur tout un chacun, déstabilisant le groupe et remettant en question les liens auparavant tissés. Alors que chacun tente de reprendre le contrôle du groupe, tant au niveau émotionnel que physique, une cinquième personne s'immisce de l'extérieur et vient semer la zizanie au sein de la « meute ».",Wolfe,Drama,"en, fr"
tt6132410,0.811,['CA'],6.5,actress,Isabelle Blais,1975,Tadoussac - Tadoussac,6736.0,90.0,2017,https://image.tmdb.org/t/p/w154/eIOzkP9AYRuGoDQ4Q0WfeBqTWeC.jpg,https://www.youtube.com/watch?v=FatuC2uS9zs,"En plein hiver, Chloé, 18 ans, fuit Montréal et fait du pouce jusqu'à Tadoussac. En échange d'une chambre, elle travaille à l'auberge de jeunesse du village, comme le font plusieurs voyageurs. Mais Chloé cherche secrètement à rencontrer quelqu'un.",Tadoussac,Drama,"en, fr"
tt6135348,9.964,['FR'],7.4,actor,Nahuel Pérez Biscayart,1986,BPM (Beats per Minute) - BPM,18298.0,143.0,2017,https://image.tmdb.org/t/p/w154/7mdxe4MfqBdKGeKZAZYELJmCKVT.jpg,https://www.youtube.com/watch?v=4GzCfjF0vDU,"Début des années 90. Alors que le sida tue depuis près de dix ans, les militants d'Act Up-Paris multiplient les actions pour lutter contre l'indifférence générale. Nouveau venu dans le groupe, Nathan va être bouleversé par Sean qui consume ses dernières forces dans l'action.",120 battements par minute,Drama,"en, fr"
tt6136188,1.037,"['FR', 'PT']",6.5,actor,Paul Hamy,1982,9 Fingers - 9 Fingers,6741.0,99.0,2018,https://image.tmdb.org/t/p/w154/yhXOfnkBxEwaGpddJUfEsbFgyJS.jpg,https://www.youtube.com/watch?v=Z8Lnut3Oi_Q,"Magloire, sort fumer une cigarette, la nuit, dans une gare où tous les trains sont arrêtés. Tout se précipite, lors d’un contrôle de police. Il prend la  fuite tel quel sans bagage, sans avenir et tombe sur un homme mourant...",9 doigts,"Adventure, Crime, Drama, Mystery","en, fr"
tt6144536,4.864,"['BE', 'FR']",6.5,actress,Émilie Dequenne,1981,This Is Our Land - This Is Our Land,6844.0,117.0,2017,https://image.tmdb.org/t/p/w154/9eAD9ESJWT1Cx9oZghjiS0I9F1l.jpg,https://www.youtube.com/watch?v=w9CQXkDwNSk,"Pauline, infirmière à domicile, entre Lens et Lille, s’occupe seule de ses deux enfants et de son père ancien métallurgiste. Dévouée et généreuse, tous ses patients l'aiment et comptent sur elle.  Profitant de sa popularité, les dirigeants d’un parti extrémiste vont lui proposer d’être leur candidate aux prochaines municipales.",Chez nous,Drama,"en, fr"
tt6147954,1.667,"['BE', 'FR']",6.5,actor,Vincent Macaigne,1978,Dog - Dog,6756.0,90.0,2017,https://image.tmdb.org/t/p/w154/cBC888CWiqbFGlF3FQXOQnsLQHf.jpg,https://www.youtube.com/watch?v=u22-tVHqfXQ,"Jacques Blanchot a tout perdu : sa femme, son logement, son travail. Il devient peu à peu étranger au monde qui l'entoure, jusqu'à ce que le patron d'une animalerie le recueille.",Chien,"Comedy, Drama","en, fr"
tt6186696,5.655,"['US', 'BE', 'GB']",6.5,actress,Anna Mouglalis,1978,The Most Assassinated Woman in the World - The Most Assassinated Woman in the World,6806.0,102.0,2018,https://image.tmdb.org/t/p/w154/yeRL5jA3NOhoBXY1WnuOf7RCRJp.jpg,https://www.youtube.com/watch?v=xacSes-zouQ,"Dans le Paris des années 30, une actrice célèbre pour ses scènes de mort sanglantes au Théâtre Grand Guignol affronte un mystérieux harceleur et un effroyable passé.",La Femme la plus assassinée du monde,"Biography, Drama, Mystery, Thriller","en, fr"
tt6194530,44.79,['FR'],6.6,actress,Noée Abita,1999,Ava - Ava,3607.0,105.0,2017,https://image.tmdb.org/t/p/w154/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg,https://www.youtube.com/watch?v=ZF2XRVr2o2c,"Ava, 13 ans, est en vacances au bord de l’océan quand elle apprend qu’elle va perdre la vue plus vite que prévu. Sa mère décide de faire comme si de rien n’était pour passer le plus bel été de leur vie. Ava affronte le problème à sa manière. Elle vole un grand chien noir qui appartient à un jeune homme en fuite…",Ava,"Drama, Romance","en, es, fr"
tt6194540,4.132,['FR'],6.5,actor,Tahar Rahim,1981,The Price of Success - The Price of Success,6787.0,92.0,2017,https://image.tmdb.org/t/p/w154/ubmnTBjq0wMBubx8z6JuWsoWjIg.jpg,https://www.youtube.com/watch?v=o02BaU486do,"Brahim est un humoriste en pleine ascension. Sa réussite, il la doit à lui-même et à l'amour qu'il porte à Linda. Bon fils, il soutient les siens depuis toujours. Mais pour durer, Brahim doit sacrifier son grand frère, manager incontrôlable. Si l'échec peut coûter cher, Brahim va payer un tribut encore plus lourd au succès.",Le prix du succès,"Comedy, Drama","en, fr"
